Notice: timing checks disabled with +notimingcheck at compile-time
Chronologic VCS simulator copyright 1991-2022
Contains Synopsys proprietary information.
Compiler version T-2022.06-SP2-9_Full64; Runtime version T-2022.06-SP2-9_Full64;  May  3 14:06 2026
========================================
  RiscvCore SoC Testbench
========================================

[STEP 1] Applying reset...
         PORESETn released, HRESETn=1
         HRESETn high after 0 cycles

[STEP 2] Loading IMEM...
         IMEM[0x0000] = 0x00300193
         IMEM[0x0004] = 0x00302023
         IMEM[0x0008] = 0x00100213
         IMEM[0x000c] = 0x404181b3
         IMEM[0x0010] = 0x00302023
         IMEM[0x0014] = 0xfe019ce3
         IMEM[0x0018] = 0x00000293
         IMEM[0x001c] = 0x000932b7
         IMEM[0x0020] = 0x00502023
         IMEM[0x0024] = 0x00000297
         IMEM[0x0028] = 0x00502023
         IMEM[0x002c] = 0x00a00313
         IMEM[0x0030] = 0x00602223
         IMEM[0x0034] = 0x00402283
         IMEM[0x0038] = 0x00502023
         IMEM[0x003c] = 0x0140086f
         IMEM[0x0040] = 0x00000a63
         IMEM[0x0044] = 0x00000013
         IMEM[0x0048] = 0x00000013
         IMEM[0x004c] = 0x00000013
         IMEM[0x0050] = 0x00080067
         IMEM[0x0054] = 0x00000013

[STEP 3] Setting CTRL = RUN...
         CTRL = 0x1

[STEP 4] Execution trace:
Cycle | Edge | PC             | Instruction    | DMEM[0]        | DMEM[4]        | stall
  172 | ^ | PC=0x0004e850 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  172 | v | PC=0x0004f050 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  173 | ^ | PC=0x0004f050 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  173 | v | PC=0x0004f850 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  174 | ^ | PC=0x0004f850 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  174 | v | PC=0x00050050 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  175 | ^ | PC=0x00050050 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  175 | v | PC=0x00050850 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  176 | ^ | PC=0x00050850 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  176 | v | PC=0x00051050 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  177 | ^ | PC=0x00051050 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  177 | v | PC=0x00051850 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  178 | ^ | PC=0x00051850 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  178 | v | PC=0x00052050 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  179 | ^ | PC=0x00052050 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  179 | v | PC=0x00052850 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  180 | ^ | PC=0x00052850 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  180 | v | PC=0x00053050 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  181 | ^ | PC=0x00053050 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  181 | v | PC=0x00053850 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  182 | ^ | PC=0x00053850 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  182 | v | PC=0x00054050 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  183 | ^ | PC=0x00054050 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  183 | v | PC=0x00054850 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  184 | ^ | PC=0x00054850 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  184 | v | PC=0x00055050 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  185 | ^ | PC=0x00055050 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  185 | v | PC=0x00055850 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  186 | ^ | PC=0x00055850 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  186 | v | PC=0x00056050 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  187 | ^ | PC=0x00056050 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  187 | v | PC=0x00056850 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  188 | ^ | PC=0x00056850 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  188 | v | PC=0x00057050 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  189 | ^ | PC=0x00057050 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  189 | v | PC=0x00057850 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  190 | ^ | PC=0x00057850 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  190 | v | PC=0x00058050 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  191 | ^ | PC=0x00058050 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  191 | v | PC=0x00058850 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  192 | ^ | PC=0x00058850 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  192 | v | PC=0x00059050 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  193 | ^ | PC=0x00059050 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  193 | v | PC=0x00059850 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  194 | ^ | PC=0x00059850 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  194 | v | PC=0x0005a050 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  195 | ^ | PC=0x0005a050 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  195 | v | PC=0x0005a850 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  196 | ^ | PC=0x0005a850 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  196 | v | PC=0x0005b050 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  197 | ^ | PC=0x0005b050 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  197 | v | PC=0x0005b850 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  198 | ^ | PC=0x0005b850 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  198 | v | PC=0x0005c050 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  199 | ^ | PC=0x0005c050 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  199 | v | PC=0x0005c850 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  200 | ^ | PC=0x0005c850 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  200 | v | PC=0x0005d050 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  201 | ^ | PC=0x0005d050 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  201 | v | PC=0x0005d850 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  202 | ^ | PC=0x0005d850 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  202 | v | PC=0x0005e050 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  203 | ^ | PC=0x0005e050 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  203 | v | PC=0x0005e850 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  204 | ^ | PC=0x0005e850 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  204 | v | PC=0x0005f050 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  205 | ^ | PC=0x0005f050 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  205 | v | PC=0x0005f850 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  206 | ^ | PC=0x0005f850 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  206 | v | PC=0x00060050 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  207 | ^ | PC=0x00060050 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  207 | v | PC=0x00060850 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  208 | ^ | PC=0x00060850 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  208 | v | PC=0x00061050 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  209 | ^ | PC=0x00061050 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  209 | v | PC=0x00061850 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  210 | ^ | PC=0x00061850 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  210 | v | PC=0x00062050 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  211 | ^ | PC=0x00062050 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  211 | v | PC=0x00062850 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  212 | ^ | PC=0x00062850 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  212 | v | PC=0x00063050 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  213 | ^ | PC=0x00063050 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  213 | v | PC=0x00063850 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  214 | ^ | PC=0x00063850 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  214 | v | PC=0x00064050 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  215 | ^ | PC=0x00064050 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  215 | v | PC=0x00064850 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  216 | ^ | PC=0x00064850 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  216 | v | PC=0x00065050 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  217 | ^ | PC=0x00065050 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  217 | v | PC=0x00065850 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  218 | ^ | PC=0x00065850 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  218 | v | PC=0x00066050 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  219 | ^ | PC=0x00066050 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  219 | v | PC=0x00066850 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  220 | ^ | PC=0x00066850 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  220 | v | PC=0x00067050 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  221 | ^ | PC=0x00067050 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  221 | v | PC=0x00067850 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  222 | ^ | PC=0x00067850 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  222 | v | PC=0x00068050 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  223 | ^ | PC=0x00068050 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  223 | v | PC=0x00068850 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  224 | ^ | PC=0x00068850 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  224 | v | PC=0x00069050 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  225 | ^ | PC=0x00069050 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  225 | v | PC=0x00069850 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  226 | ^ | PC=0x00069850 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  226 | v | PC=0x0006a050 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  227 | ^ | PC=0x0006a050 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  227 | v | PC=0x0006a850 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  228 | ^ | PC=0x0006a850 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  228 | v | PC=0x0006b050 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  229 | ^ | PC=0x0006b050 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  229 | v | PC=0x0006b850 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  230 | ^ | PC=0x0006b850 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  230 | v | PC=0x0006c050 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  231 | ^ | PC=0x0006c050 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  231 | v | PC=0x0006c850 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  232 | ^ | PC=0x0006c850 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  232 | v | PC=0x0006d050 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  233 | ^ | PC=0x0006d050 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  233 | v | PC=0x0006d850 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  234 | ^ | PC=0x0006d850 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  234 | v | PC=0x0006e050 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  235 | ^ | PC=0x0006e050 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  235 | v | PC=0x0006e850 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  236 | ^ | PC=0x0006e850 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  236 | v | PC=0x0006f050 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  237 | ^ | PC=0x0006f050 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  237 | v | PC=0x0006f850 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  238 | ^ | PC=0x0006f850 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  238 | v | PC=0x00070050 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  239 | ^ | PC=0x00070050 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  239 | v | PC=0x00070850 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  240 | ^ | PC=0x00070850 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  240 | v | PC=0x00071050 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  241 | ^ | PC=0x00071050 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  241 | v | PC=0x00071850 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  242 | ^ | PC=0x00071850 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  242 | v | PC=0x00072050 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  243 | ^ | PC=0x00072050 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  243 | v | PC=0x00072850 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  244 | ^ | PC=0x00072850 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  244 | v | PC=0x00073050 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  245 | ^ | PC=0x00073050 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  245 | v | PC=0x00073850 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  246 | ^ | PC=0x00073850 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  246 | v | PC=0x00074050 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  247 | ^ | PC=0x00074050 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  247 | v | PC=0x00074850 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  248 | ^ | PC=0x00074850 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  248 | v | PC=0x00075050 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  249 | ^ | PC=0x00075050 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  249 | v | PC=0x00075850 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  250 | ^ | PC=0x00075850 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  250 | v | PC=0x00076050 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  251 | ^ | PC=0x00076050 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  251 | v | PC=0x00076850 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  252 | ^ | PC=0x00076850 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  252 | v | PC=0x00077050 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  253 | ^ | PC=0x00077050 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  253 | v | PC=0x00077850 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  254 | ^ | PC=0x00077850 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  254 | v | PC=0x00078050 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  255 | ^ | PC=0x00078050 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  255 | v | PC=0x00078850 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  256 | ^ | PC=0x00078850 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  256 | v | PC=0x00079050 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  257 | ^ | PC=0x00079050 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  257 | v | PC=0x00079850 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  258 | ^ | PC=0x00079850 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  258 | v | PC=0x0007a050 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  259 | ^ | PC=0x0007a050 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  259 | v | PC=0x0007a850 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  260 | ^ | PC=0x0007a850 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  260 | v | PC=0x0007b050 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  261 | ^ | PC=0x0007b050 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  261 | v | PC=0x0007b850 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  262 | ^ | PC=0x0007b850 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  262 | v | PC=0x0007c050 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  263 | ^ | PC=0x0007c050 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  263 | v | PC=0x0007c850 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  264 | ^ | PC=0x0007c850 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  264 | v | PC=0x0007d050 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  265 | ^ | PC=0x0007d050 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  265 | v | PC=0x0007d850 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  266 | ^ | PC=0x0007d850 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  266 | v | PC=0x0007e050 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  267 | ^ | PC=0x0007e050 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  267 | v | PC=0x0007e850 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  268 | ^ | PC=0x0007e850 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
  268 | v | PC=0x0007f050 | INSTR=0x00000013 | DMEM[0]=0x00000000 | DMEM[4]=0xxxxxxxxx | stall=0
